,solar,wind
basin,-0.572418614777841,-0.2910259710285578
california,-0.09747122690000834,-0.10435502524473911
mountains,-0.7308520467104169,-0.3486806604573744
northwest,-0.9038763201569835,-0.2897276366190854
southwest,-0.4967702536583893,-0.21874796730268817
